model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,1,0.0027,0.0,0.48,0.0,0.4827,0.0
ai21/j1-grande-v2-beta,1,0.0414,0.0,0.7,0.0,0.7414,0.0
ai21/j1-jumbo,1,0.0454,0.0,0.43,0.0,0.3846,0.0
ai21/j2-large,1,0.05,0.0,0.69,0.0,0.64,0.0
anthropic/stanford-online-all-v4-s3,1,0.0715,0.0,0.57,0.0,0.4985,0.0
cohere/command-xlarge-beta,1,0.0184,0.0,0.61,0.0,0.5916,0.0
cohere/xlarge-20221108,1,0.0819,0.0,0.58,0.0,0.6619,0.0
lmsys/vicuna-7b-v1.3,1,0.0175,0.0,0.49,0.0,0.4725,0.0
microsoft/TNLGv2_530B,1,0.0158,0.0,0.41,0.0,0.4258,0.0
microsoft/TNLGv2_7B,1,0.0452,0.0,0.52,0.0,0.5652,0.0
mosaicml/mpt-30b,1,0.078,0.0,0.48,0.0,0.402,0.0
openai/text-babbage-001,1,0.0301,0.0,0.78,0.0,0.8101,0.0
openai/text-davinci-003,1,0.015,0.0,0.71,0.0,0.695,0.0
together/bloom,1,0.067,0.0,0.68,0.0,0.613,0.0
together/opt-175b,1,0.0001,0.0,0.21,0.0,0.2101,0.0
together/redpajama-incite-base-3b-v1,1,0.0456,0.0,0.66,0.0,0.6144,0.0
writer/palmyra-x,1,0.0014,0.0,0.0,0.0,0.0014,0.0
