model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,1,0.0033,0.0,0.4,0.0,0.3967,0.0
amazon/nova-lite-v1:0,1,0.0493,0.0,0.7,0.0,0.6507,0.0
amazon/nova-pro-v1:0,1,0.0395,0.0,0.72,0.0,0.6805,0.0
anthropic/claude-3-5-haiku-20241022,1,0.065,0.0,0.64,0.0,0.575,0.0
anthropic/claude-instant-1.2,1,0.0266,0.0,0.5,0.0,0.4734,0.0
anthropic/claude-v1.3,1,0.0026,0.0,0.54,0.0,0.5374,0.0
cohere/command-light,1,0.0999,0.0,0.5,0.0,0.4001,0.0
cohere/command-r-plus,1,0.0781,0.0,0.72,0.0,0.6419,0.0
cohere/command-r,1,0.0442,0.0,0.52,0.0,0.4758,0.0
google/gemini-1.5-pro-002,1,0.0029,0.0,0.7,0.0,0.6971,0.0
google/text-bison@001,1,0.0477,0.0,0.52,0.0,0.5677,0.0
meta/llama-3.1-8b-instruct-turbo,1,0.0881,0.0,0.14,0.0,0.2281,0.0
meta/llama-3.2-90b-vision-instruct-turbo,1,0.0035,0.0,0.58,0.0,0.5765,0.0
microsoft/phi-2,1,0.1044,0.0,0.24,0.0,0.3444,0.0
microsoft/phi-3-small-8k-instruct,1,0.0275,0.0,0.56,0.0,0.5325,0.0
mistralai/mixtral-8x22b,1,0.0362,0.0,0.66,0.0,0.6238,0.0
mistralai/mixtral-8x7b-32kseqlen,1,0.0429,0.0,0.58,0.0,0.6229,0.0
openai/gpt-4o-2024-08-06,1,0.0078,0.0,0.64,0.0,0.6478,0.0
qwen/qwen1.5-110b-chat,1,0.0295,0.0,0.56,0.0,0.5305,0.0
qwen/qwen1.5-32b,1,0.0253,0.0,0.58,0.0,0.6053,0.0
qwen/qwen2.5-72b-instruct-turbo,1,0.0439,0.0,0.72,0.0,0.6761,0.0
upstage/solar-pro-241126,1,0.0082,0.0,0.62,0.0,0.6282,0.0
