model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-extended,1,0.0591,0.0,0.8,0.0,0.7409,0.0
AlephAlpha/luminous-supreme,1,0.0552,0.0,0.8,0.0,0.7448,0.0
ai21/j1-grande,1,0.0676,0.0,0.8667,0.0,0.7991,0.0
ai21/j1-large,1,0.0515,0.0,0.8267,0.0,0.7751,0.0
ai21/j2-grande,1,0.0557,0.0,0.8,0.0,0.7443,0.0
ai21/j2-jumbo,1,0.0399,0.0,0.3067,0.0,0.3466,0.0
cohere/command-medium-beta,1,0.0593,0.0,0.2667,0.0,0.3259,0.0
cohere/large-20220720,1,0.0277,0.0,0.2133,0.0,0.241,0.0
cohere/medium-20220720,1,0.0997,0.0,0.12,0.0,0.2197,0.0
cohere/medium-20221108,1,0.0566,0.0,0.8533,0.0,0.7967,0.0
cohere/small-20220720,1,0.0785,0.0,0.88,0.0,0.8015,0.0
cohere/xlarge-20220609,1,0.0789,0.0,0.2,0.0,0.2789,0.0
eleutherai/pythia-12b-v0,1,0.0428,0.0,0.7467,0.0,0.7039,0.0
eleutherai/pythia-6.9b,1,0.0306,0.0,0.48,0.0,0.5106,0.0
lmsys/vicuna-13b-v1.3,1,0.0454,0.0,0.4533,0.0,0.4987,0.0
meta/llama-13b,1,0.1043,0.0,0.32,0.0,0.4243,0.0
meta/llama-2-13b,1,0.0098,0.0,0.52,0.0,0.5298,0.0
meta/llama-2-70b,1,0.0504,0.0,0.4933,0.0,0.5438,0.0
meta/llama-2-7b,1,0.0135,0.0,0.7733,0.0,0.7598,0.0
meta/llama-30b,1,0.0316,0.0,0.8267,0.0,0.795,0.0
meta/llama-65b,1,0.0826,0.0,0.5067,0.0,0.5893,0.0
meta/llama-7b,1,0.0833,0.0,0.28,0.0,0.3633,0.0
mistralai/mistral-7b-v0.1,1,0.0565,0.0,0.4933,0.0,0.5499,0.0
mosaicml/mpt-instruct-30b,1,0.1204,0.0,0.2267,0.0,0.3471,0.0
openai/ada,1,0.0065,0.0,0.76,0.0,0.7535,0.0
openai/babbage,1,0.0292,0.0,0.5067,0.0,0.5358,0.0
openai/curie,1,0.1416,0.0,0.2933,0.0,0.4349,0.0
openai/davinci,1,0.0596,0.0,0.1867,0.0,0.2462,0.0
openai/gpt-3.5-turbo-0301,1,0.0684,0.0,0.56,0.0,0.6284,0.0
openai/gpt-3.5-turbo-0613,1,0.0508,0.0,0.5867,0.0,0.6375,0.0
openai/text-ada-001,1,0.0801,0.0,0.88,0.0,0.7999,0.0
openai/text-curie-001,1,0.0002,0.0,0.6933,0.0,0.6935,0.0
openai/text-davinci-002,1,0.0989,0.0,0.6,0.0,0.6989,0.0
stanford/alpaca-7b,1,0.0815,0.0,0.4133,0.0,0.4948,0.0
tiiuae/falcon-40b,1,0.0037,0.0,0.7467,0.0,0.7429,0.0
tiiuae/falcon-40b-instruct,1,0.0094,0.0,0.68,0.0,0.6894,0.0
tiiuae/falcon-7b,1,0.0479,0.0,0.8533,0.0,0.8054,0.0
tiiuae/falcon-7b-instruct,1,0.0661,0.0,0.88,0.0,0.8139,0.0
together/glm,1,0.0804,0.0,0.8933,0.0,0.813,0.0
together/gpt-j-6b,1,0.083,0.0,0.2133,0.0,0.2963,0.0
together/gpt-neox-20b,1,0.0941,0.0,0.1467,0.0,0.2408,0.0
together/opt-66b,1,0.0623,0.0,0.1467,0.0,0.209,0.0
together/redpajama-incite-base-7b,1,0.0107,0.0,0.3867,0.0,0.3759,0.0
together/redpajama-incite-instruct-3b-v1,1,0.0354,0.0,0.8533,0.0,0.8179,0.0
together/redpajama-incite-instruct-7b,1,0.0833,0.0,0.56,0.0,0.6433,0.0
together/t0pp,1,0.0675,0.0,0.5067,0.0,0.4392,0.0
together/t5-11b,1,0.0177,0.0,0.56,0.0,0.5777,0.0
together/ul2,1,0.0134,0.0,0.28,0.0,0.2666,0.0
together/yalm,1,0.0633,0.0,0.8133,0.0,0.75,0.0
writer/palmyra-instruct-30,1,0.0214,0.0,0.56,0.0,0.5814,0.0
