model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
open-llm-leaderboard/details_alignment-handbook__zephyr-7b-sft-full,1,0.0427,0.0,0.33,0.0,0.2873,0.0
open-llm-leaderboard/details_FelixChao__ExtremeDolphin-MoE,1,0.0112,0.0,0.67,0.0,0.6588,0.0
open-llm-leaderboard/details_nfaheem__Marcoroni-7b-DPO-Merge,1,0.0737,0.0,0.75,0.0,0.6763,0.0
open-llm-leaderboard/details_macadeliccc__polyglot-math-4x7b,1,0.0263,0.0,0.54,0.0,0.5663,0.0
open-llm-leaderboard/details_CallComply__SOLAR-10.7B-Instruct-v1.0-128k,1,0.0413,0.0,0.03,0.0,0.0713,0.0
open-llm-leaderboard/details_bhavinjawade__SOLAR-10B-Nector-DPO-Jawade,1,0.0241,0.0,0.67,0.0,0.6459,0.0
open-llm-leaderboard/details_huangyt__Mistral-7B-v0.1-Open-Platypus_2.5w-r16-gate_up_down,1,0.0112,0.0,0.38,0.0,0.3912,0.0
open-llm-leaderboard/details_PSanni__MPOMixtral-8x7B-Instruct-v0.1,1,0.0047,0.0,0.59,0.0,0.5853,0.0
open-llm-leaderboard/details_Weyaxi__Helion-4x34B,1,0.0025,0.0,0.72,0.0,0.7225,0.0
open-llm-leaderboard/details_KnutJaegersberg__Qwen-14B-Llamafied,1,0.0423,0.0,0.57,0.0,0.5277,0.0
open-llm-leaderboard/details_Unbabel__TowerInstruct-7B-v0.1,1,0.0355,0.0,0.2,0.0,0.1645,0.0
open-llm-leaderboard/details_charlesdedampierre__TopicNeuralHermes-2.5-Mistral-7B,1,0.0579,0.0,0.6,0.0,0.5421,0.0
open-llm-leaderboard/details_elyza__ELYZA-japanese-Llama-2-13b-instruct,1,0.0452,0.0,0.19,0.0,0.1448,0.0
open-llm-leaderboard/details_umd-zhou-lab__recycled-wizardlm-7b-v2.0,1,0.0464,0.0,0.17,0.0,0.1236,0.0
open-llm-leaderboard/details_Sao10K__Sensualize-Mixtral-bf16,1,0.0101,0.0,0.51,0.0,0.5201,0.0
open-llm-leaderboard/details_chargoddard__mistral-11b-slimorca,1,0.0139,0.0,0.51,0.0,0.5239,0.0
open-llm-leaderboard/details_mlabonne__NeuralMarcoro14-7B,1,0.0326,0.0,0.74,0.0,0.7074,0.0
open-llm-leaderboard/details_jilp00__Hermes-2-SOLAR-10.7B-Symbolic,1,0.0295,0.0,0.11,0.0,0.1395,0.0
open-llm-leaderboard/details_notbdq__alooowso,1,0.0542,0.0,0.45,0.0,0.3958,0.0
open-llm-leaderboard/details_Mihaiii__Pallas-0.5-LASER-exp2-0.1,1,0.0223,0.0,0.55,0.0,0.5277,0.0
open-llm-leaderboard/details_qblocks__codellama_7b_DolphinCoder,1,0.013,0.0,0.11,0.0,0.097,0.0
