model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
open-llm-leaderboard/details_kyujinpy__Sakura-SOLRCA-Math-Instruct-DPO-v1,1,0.0059,0.0,0.87,0.0,0.8641,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_fblgit__UNA-POLAR-10.7B-InstructMath-v2,1,0.0048,0.0,0.83,0.0,0.8252,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_meta-math__MetaMath-70B-V1.0,1,0.0153,0.0,0.86,0.0,0.8447,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_qblocks__mistral_7b_DolphinCoder,1,0.0127,0.0,0.77,0.0,0.7573,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_WizardLM__WizardCoder-Python-34B-V1.0,1,0.0116,0.0,0.73,0.0,0.7184,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_jondurbin__airocoder-34b-2.1,1,0.0013,0.0,0.71,0.0,0.7087,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_bigcode__starcoderplus,1,0.0072,0.0,0.58,0.0,0.5728,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_glaiveai__glaive-coder-7b,1,0.0131,0.0,0.45,0.0,0.4369,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_deepseek-ai__deepseek-coder-1.3b-instruct,1,0.0014,0.0,0.38,0.0,0.3786,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_bigcode__tiny_starcoder_py,1,0.0089,0.0,0.36,0.0,0.3689,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_alignment-handbook__zephyr-7b-sft-full,1,0.0073,0.0,0.75,0.0,0.7573,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_moreh__MoMo-70B-lora-1.8.6-DPO,1,0.0159,0.0,0.88,0.0,0.8641,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_wang7776__Mistral-7B-Instruct-v0.2-sparsity-20,1,0.0017,0.0,0.61,0.0,0.6117,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_nfaheem__Marcoroni-7b-DPO-Merge,1,0.0027,0.0,0.76,0.0,0.7573,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_BAAI__Aquila2-34B,1,0.0059,0.0,0.87,0.0,0.8641,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_huangyt__Mistral-7B-v0.1-Open-Platypus_2.5w-r16-gate_up_down,1,0.005,0.0,0.84,0.0,0.835,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_PSanni__MPOMixtral-8x7B-Instruct-v0.1,1,0.0056,0.0,0.86,0.0,0.8544,0.0,harness_hendrycksTest_management_5
open-llm-leaderboard/details_Weyaxi__Bagel-Hermes-34B-Slerp,1,0.0068,0.0,0.9,0.0,0.8932,0.0,harness_hendrycksTest_management_5
