model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
anthropic/stanford-online-all-v4-s3,1,0.0,0.0,0.0,0.0,0.0,0.0,BLiMP
together/bloom,1,0.0226,0.0,0.22,0.0,0.2426,0.0,BLiMP
together/opt-175b,1,0.0,0.0,0.0,0.0,0.0,0.0,BLiMP
ai21/j1-grande-v2-beta,1,0.018,0.0,0.8,0.0,0.818,0.0,BLiMP
ai21/j1-jumbo,1,0.0807,0.0,0.74,0.0,0.8207,0.0,BLiMP
ai21/j2-large,1,0.0417,0.0,0.78,0.0,0.8217,0.0,BLiMP
cohere/command-xlarge-beta,1,0.104,0.0,0.9,0.0,0.796,0.0,BLiMP
cohere/xlarge-20221108,1,0.0952,0.0,0.92,0.0,0.8248,0.0,BLiMP
microsoft/TNLGv2_530B,1,0.0796,0.0,0.9,0.0,0.8204,0.0,BLiMP
openai/text-babbage-001,1,0.0096,0.0,0.76,0.0,0.7696,0.0,BLiMP
AlephAlpha/luminous-base,1,0.0011,0.0,0.5827,0.0,0.5837,0.0,NarrativeQA-Classic
ai21/j1-grande-v2-beta,1,0.0465,0.0,0.6745,0.0,0.721,0.0,NarrativeQA-Classic
ai21/j1-jumbo,1,0.0206,0.0,0.6731,0.0,0.6938,0.0,NarrativeQA-Classic
anthropic/stanford-online-all-v4-s3,1,0.0746,0.0,0.6778,0.0,0.7524,0.0,NarrativeQA-Classic
cohere/command-xlarge-beta,1,0.0174,0.0,0.7301,0.0,0.7475,0.0,NarrativeQA-Classic
cohere/xlarge-20221108,1,0.0731,0.0,0.5431,0.0,0.6162,0.0,NarrativeQA-Classic
lmsys/vicuna-13b-v1.3,1,0.0085,0.0,0.6935,0.0,0.702,0.0,NarrativeQA-Classic
meta/llama-7b,1,0.0327,0.0,0.6516,0.0,0.6843,0.0,NarrativeQA-Classic
microsoft/TNLGv2_530B,1,0.0181,0.0,0.674,0.0,0.6921,0.0,NarrativeQA-Classic
mistralai/mistral-7b-v0.1,1,0.063,0.0,0.6689,0.0,0.7318,0.0,NarrativeQA-Classic
openai/text-babbage-001,1,0.0831,0.0,0.3307,0.0,0.4138,0.0,NarrativeQA-Classic
stanford/alpaca-7b,1,0.0611,0.0,0.3431,0.0,0.4042,0.0,NarrativeQA-Classic
together/bloom,1,0.0396,0.0,0.6067,0.0,0.6463,0.0,NarrativeQA-Classic
together/opt-175b,1,0.0866,0.0,0.574,0.0,0.6606,0.0,NarrativeQA-Classic
together/redpajama-incite-instruct-3b-v1,1,0.0887,0.0,0.5618,0.0,0.6505,0.0,NarrativeQA-Classic
together/yalm,1,0.0317,0.0,0.1896,0.0,0.2213,0.0,NarrativeQA-Classic
AlephAlpha/luminous-base,1,0.0755,0.0,0.4,0.0,0.3245,0.0,BabiQA
ai21/j1-grande-v2-beta,1,0.153,0.0,0.68,0.0,0.527,0.0,BabiQA
ai21/j1-jumbo,1,0.0651,0.0,0.56,0.0,0.4949,0.0,BabiQA
ai21/j2-large,1,0.0148,0.0,0.4,0.0,0.3852,0.0,BabiQA
anthropic/stanford-online-all-v4-s3,1,0.1618,0.0,0.62,0.0,0.4582,0.0,BabiQA
cohere/command-xlarge-beta,1,0.0899,0.0,0.52,0.0,0.4301,0.0,BabiQA
cohere/xlarge-20221108,1,0.0384,0.0,0.42,0.0,0.3816,0.0,BabiQA
lmsys/vicuna-13b-v1.3,1,0.0077,0.0,0.5,0.0,0.5077,0.0,BabiQA
meta/llama-7b,1,0.2028,0.0,0.64,0.0,0.4372,0.0,BabiQA
microsoft/TNLGv2_530B,1,0.0559,0.0,0.46,0.0,0.4041,0.0,BabiQA
mistralai/mistral-7b-v0.1,1,0.015,0.0,0.54,0.0,0.525,0.0,BabiQA
openai/text-babbage-001,1,0.0609,0.0,0.34,0.0,0.2791,0.0,BabiQA
stanford/alpaca-7b,1,0.1179,0.0,0.5,0.0,0.3821,0.0,BabiQA
together/bloom,1,0.0853,0.0,0.28,0.0,0.3653,0.0,BabiQA
together/opt-175b,1,0.0208,0.0,0.32,0.0,0.3408,0.0,BabiQA
together/redpajama-incite-instruct-3b-v1,1,0.0327,0.0,0.4,0.0,0.3673,0.0,BabiQA
together/yalm,1,0.0442,0.0,0.24,0.0,0.2842,0.0,BabiQA
AlephAlpha/luminous-base,1,0.036,0.0,0.28,0.0,0.316,0.0,BBQ
ai21/j1-grande-v2-beta,1,0.116,0.0,0.58,0.0,0.464,0.0,BBQ
ai21/j1-jumbo,1,0.002,0.0,0.34,0.0,0.342,0.0,BBQ
ai21/j2-large,1,0.073,0.0,0.4,0.0,0.327,0.0,BBQ
anthropic/stanford-online-all-v4-s3,1,0.089,0.0,0.62,0.0,0.531,0.0,BBQ
cohere/command-xlarge-beta,1,0.067,0.0,0.54,0.0,0.473,0.0,BBQ
cohere/xlarge-20221108,1,0.108,0.0,0.48,0.0,0.372,0.0,BBQ
microsoft/TNLGv2_530B,1,0.048,0.0,0.5,0.0,0.452,0.0,BBQ
openai/text-babbage-001,1,0.056,0.0,0.4,0.0,0.344,0.0,BBQ
together/bloom,1,0.059,0.0,0.42,0.0,0.361,0.0,BBQ
together/opt-175b,1,0.039,0.0,0.3,0.0,0.339,0.0,BBQ
together/yalm,1,0.013,0.0,0.34,0.0,0.327,0.0,BBQ
AlephAlpha/luminous-base,1,0.0478,0.0,0.3,0.0,0.2522,0.0,MMLU-Classic
ai21/j1-grande-v2-beta,1,0.0503,0.0,0.38,0.0,0.4303,0.0,MMLU-Classic
ai21/j1-jumbo,1,0.0387,0.0,0.24,0.0,0.2787,0.0,MMLU-Classic
ai21/j2-large,1,0.0667,0.0,0.4,0.0,0.3333,0.0,MMLU-Classic
anthropic/stanford-online-all-v4-s3,1,0.0585,0.0,0.54,0.0,0.4815,0.0,MMLU-Classic
cohere/command-xlarge-beta,1,0.0233,0.0,0.4,0.0,0.4233,0.0,MMLU-Classic
cohere/xlarge-20221108,1,0.0849,0.0,0.42,0.0,0.3351,0.0,MMLU-Classic
lmsys/vicuna-13b-v1.3,1,0.028,0.0,0.42,0.0,0.448,0.0,MMLU-Classic
meta/llama-7b,1,0.0198,0.0,0.28,0.0,0.2998,0.0,MMLU-Classic
