model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,1,0.0852,0.0,0.3,0.0,0.2148,0.0
ai21/j1-grande-v2-beta,1,0.0844,0.0,0.1,0.0,0.1844,0.0
ai21/j1-jumbo,1,0.0257,0.0,0.26,0.0,0.2343,0.0
ai21/j2-large,1,0.0061,0.0,0.2,0.0,0.2061,0.0
anthropic/stanford-online-all-v4-s3,1,0.0548,0.0,0.16,0.0,0.2148,0.0
cohere/command-xlarge-beta,1,0.0461,0.0,0.16,0.0,0.2061,0.0
cohere/xlarge-20221108,1,0.0714,0.0,0.1,0.0,0.1714,0.0
lmsys/vicuna-7b-v1.3,1,0.0535,0.0,0.12,0.0,0.1735,0.0
microsoft/TNLGv2_530B,1,0.0252,0.0,0.24,0.0,0.2148,0.0
microsoft/TNLGv2_7B,1,0.0861,0.0,0.12,0.0,0.2061,0.0
mosaicml/mpt-30b,1,0.0587,0.0,0.28,0.0,0.2213,0.0
openai/text-babbage-001,1,0.0156,0.0,0.2,0.0,0.1844,0.0
openai/text-davinci-003,1,0.0673,0.0,0.18,0.0,0.2473,0.0
together/bloom,1,0.0669,0.0,0.26,0.0,0.1931,0.0
together/opt-175b,1,0.0169,0.0,0.2,0.0,0.2169,0.0
together/redpajama-incite-base-3b-v1,1,0.0482,0.0,0.16,0.0,0.2082,0.0
writer/palmyra-x,1,0.0282,0.0,0.18,0.0,0.2082,0.0
