model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
AlephAlpha/luminous-base,10,0.0433331756458811,0.019862509854602462,0.30576914491034357,0.041059524180809395,0.3299848192417862,5.551115123125783e-17,QuAC
ai21/j1-grande-v2-beta,10,0.018820711578969224,0.013352777107496301,0.39918234724844315,0.02037361917630201,0.3883457664924923,0.0,QuAC
ai21/j1-jumbo,10,0.02621191103132673,0.018340101385433714,0.3657627020528154,0.02487651745797244,0.34564846635007573,0.0,QuAC
anthropic/stanford-online-all-v4-s3,10,0.03102427973566605,0.01765332410676262,0.4224894960485092,0.03388675054946681,0.41127192401470997,0.0,QuAC
cohere/command-xlarge-beta,10,0.04131450625217313,0.029285351520851897,0.39992773481808125,0.038116042864271935,0.4332697131176618,0.0,QuAC
cohere/xlarge-20221108,10,0.030903295782147715,0.01654848288797068,0.37668532306207225,0.0350230395796038,0.3781862143632239,0.0,QuAC
lmsys/vicuna-7b-v1.3,10,0.0191728931232016,0.018744904856090507,0.380333820727096,0.02083208612041119,0.39721562977261504,0.0,QuAC
microsoft/TNLGv2_530B,10,0.039073027441944824,0.030248691894794743,0.37053809845165653,0.043969006036436754,0.39308607714139676,5.551115123125783e-17,QuAC
microsoft/TNLGv2_7B,10,0.04639081433926327,0.03317781216277264,0.31924236889523666,0.05431933498314125,0.33662870611609785,5.551115123125783e-17,QuAC
mosaicml/mpt-30b,10,0.04162033788484932,0.029899584725844634,0.37738955979523564,0.050150630992692694,0.38793242010265494,5.551115123125783e-17,QuAC
openai/text-babbage-001,10,0.033973362250497956,0.018377336142030628,0.28436261004695695,0.03609243436967104,0.27060572058924404,0.0,QuAC
openai/text-davinci-003,10,0.032278705056719856,0.023092760754591466,0.5057803013544729,0.03876859721170283,0.49728405102598916,0.0,QuAC
together/bloom,10,0.023347325835898387,0.016560157057392513,0.3549097639317627,0.025799746560726238,0.34251180027415307,0.0,QuAC
together/opt-175b,10,0.024090553514488817,0.023319572896851888,0.3441035053294586,0.026963004755610174,0.3640322188673411,0.0,QuAC
together/redpajama-incite-base-3b-v1,10,0.03014739125048243,0.02829401106489715,0.2899929753961779,0.03668702973343199,0.3090580773022382,0.0,QuAC
writer/palmyra-x,10,0.028004361473664995,0.021465799183944,0.45842938377640985,0.034302302468683946,0.4666984128306594,0.0,QuAC
AlephAlpha/luminous-base,10,0.02157798165137615,0.01956262778939549,0.1973333333333333,0.02908989897236191,0.19877675840978593,0.0,TruthfulQA-Classic
ai21/j1-grande-v2-beta,10,0.04431804281345566,0.023675084933066724,0.2706666666666667,0.03866666666666667,0.3027522935779817,5.551115123125783e-17,TruthfulQA-Classic
ai21/j1-jumbo,10,0.028330275229357806,0.024317812070109263,0.18266666666666667,0.03726183629995232,0.18501529051987767,0.0,TruthfulQA-Classic
ai21/j2-large,10,0.037321100917431196,0.033076742122757984,0.25600000000000006,0.047253453724451604,0.2400611620795107,0.0,TruthfulQA-Classic
anthropic/stanford-online-all-v4-s3,10,0.05066666666666667,0.027720827141419244,0.3546666666666667,0.05725576147622371,0.34709480122324166,5.551115123125783e-17,TruthfulQA-Classic
cohere/command-xlarge-beta,10,0.029015290519877678,0.017816298548594095,0.252,0.033439829877291875,0.2584097859327218,5.551115123125783e-17,TruthfulQA-Classic
cohere/xlarge-20221108,10,0.026250764525993887,0.017377282373036367,0.16266666666666668,0.03028751117760146,0.1712538226299694,0.0,TruthfulQA-Classic
lmsys/vicuna-7b-v1.3,10,0.019743119266055036,0.014723804910201598,0.26666666666666666,0.019776529298921767,0.28134556574923547,0.0,TruthfulQA-Classic
microsoft/TNLGv2_530B,10,0.03733333333333334,0.025367627039277196,0.2613333333333333,0.044701478971307225,0.26758409785932724,0.0,TruthfulQA-Classic
microsoft/TNLGv2_7B,10,0.02555351681957187,0.01731526016349319,0.15066666666666667,0.029242282932615084,0.16055045871559634,0.0,TruthfulQA-Classic
mosaicml/mpt-30b,10,0.04289908256880734,0.022152280397878043,0.21866666666666665,0.04740370355901647,0.2278287461773701,5.551115123125783e-17,TruthfulQA-Classic
openai/text-babbage-001,10,0.035486238532110095,0.02372125028969632,0.248,0.04266666666666666,0.24923547400611618,2.7755575615628914e-17,TruthfulQA-Classic
openai/text-davinci-003,10,0.03733333333333334,0.02640989924804972,0.5573333333333335,0.04572380853195266,0.5581039755351682,0.0,TruthfulQA-Classic
together/bloom,10,0.03510703363914373,0.027785213118920928,0.20133333333333336,0.043594087264724836,0.191131498470948,0.0,TruthfulQA-Classic
together/opt-175b,10,0.03692966360856269,0.029400196194124747,0.24933333333333332,0.04697043987682276,0.24464831804281348,2.7755575615628914e-17,TruthfulQA-Classic
together/redpajama-incite-base-3b-v1,10,0.05828746177370031,0.0368727810028371,0.29733333333333334,0.06533333333333334,0.27522935779816515,0.0,TruthfulQA-Classic
writer/palmyra-x,10,0.0314862385321101,0.023633423237010936,0.5720000000000001,0.03792390040887437,0.5825688073394495,0.0,TruthfulQA-Classic
AlephAlpha/luminous-base,10,0.03228344179320318,0.021638809953623946,0.20800000000000002,0.03827386691841953,0.21475054229934926,2.7755575615628914e-17,LSAT
ai21/j1-grande-v2-beta,10,0.024876355748373102,0.022883707952742992,0.18266666666666664,0.0337573037364591,0.1843817787418655,0.0,LSAT
ai21/j1-jumbo,10,0.023812002892263193,0.0231291307612341,0.23866666666666667,0.03290390047800817,0.23427331887201733,2.7755575615628914e-17,LSAT
ai21/j2-large,10,0.04,0.024548261712968533,0.19733333333333333,0.04611097724210822,0.20607375271149672,2.7755575615628914e-17,LSAT
anthropic/stanford-online-all-v4-s3,10,0.03761677512653651,0.02767075587292082,0.1973333333333333,0.04332820482472512,0.21475054229934926,2.7755575615628914e-17,LSAT
cohere/command-xlarge-beta,10,0.022903832248734633,0.016813332959163717,0.21999999999999997,0.024765567494675608,0.20607375271149672,2.7755575615628914e-17,LSAT
cohere/xlarge-20221108,10,0.03639334779464932,0.024948240690003568,0.1746666666666667,0.044,0.17136659436008678,0.0,LSAT
lmsys/vicuna-7b-v1.3,10,0.03062617498192336,0.020590015191592113,0.19066666666666668,0.0326870684590167,0.1735357917570499,0.0,LSAT
microsoft/TNLGv2_530B,10,0.025049891540130154,0.01355036542942652,0.22266666666666665,0.027357712704910924,0.21475054229934926,2.7755575615628914e-17,LSAT
microsoft/TNLGv2_7B,10,0.022548083875632684,0.02157701696310028,0.21066666666666664,0.030868898407440604,0.20607375271149672,2.7755575615628914e-17,LSAT
mosaicml/mpt-30b,10,0.028578452639190143,0.0237125631963176,0.24133333333333334,0.03124099870362661,0.22125813449023862,0.0,LSAT
openai/text-babbage-001,10,0.018666666666666668,0.015749031483090196,0.176,0.022939534045447005,0.1843817787418655,0.0,LSAT
openai/text-davinci-003,10,0.03600000000000001,0.025098986191317726,0.24933333333333335,0.04383808592739626,0.2472885032537961,0.0,LSAT
together/bloom,10,0.03189009399855387,0.013885798677389974,0.1786666666666667,0.03166491223210111,0.19305856832971804,2.7755575615628914e-17,LSAT
together/opt-175b,10,0.03805061460592914,0.0229927582341851,0.1973333333333333,0.03991101212558871,0.21691973969631237,0.0,LSAT
together/redpajama-incite-base-3b-v1,10,0.030666666666666665,0.022207010968510337,0.20666666666666664,0.03783002922429629,0.20824295010845986,0.0,LSAT
writer/palmyra-x,10,0.03796384671005061,0.023914704776246538,0.192,0.04182503237695499,0.20824295010845986,0.0,LSAT
AlephAlpha/luminous-base,10,0.0,0.0,0.0,0.0,0.0,0.0,SRN
ai21/j1-grande-v2-beta,10,0.03295555555555556,0.018487713637861104,0.12577777777777777,0.03776731881363,0.127,0.0,SRN
ai21/j1-jumbo,10,0.04066666666666667,0.037945542525188176,0.18533333333333335,0.055619518733961835,0.185,0.0,SRN
ai21/j2-large,10,0.045599999999999995,0.02411286219959775,0.1395555555555556,0.04346475796763609,0.16733333333333333,0.0,SRN
anthropic/stanford-online-all-v4-s3,10,0.02837777777777779,0.017485034165053447,0.2271111111111111,0.03280770761592992,0.233,0.0,SRN
cohere/command-xlarge-beta,10,0.042422222222222215,0.024472145919921397,0.23333333333333334,0.048370994267430065,0.22566666666666663,2.7755575615628914e-17,SRN
cohere/xlarge-20221108,10,0.0,0.0,0.0,0.0,0.0,0.0,SRN
lmsys/vicuna-7b-v1.3,10,0.04211111111111111,0.024591476993884302,0.27999999999999997,0.04640136226182467,0.265,0.0,SRN
microsoft/TNLGv2_530B,10,0.026066666666666665,0.02482428122366496,0.27511111111111114,0.03496453229371899,0.2836666666666666,5.551115123125783e-17,SRN
microsoft/TNLGv2_7B,10,0.025555555555555554,0.01965128086171924,0.21022222222222223,0.03223677832140194,0.21000000000000002,2.7755575615628914e-17,SRN
mosaicml/mpt-30b,10,0.04448888888888888,0.02321792623740182,0.1697777777777778,0.042989519250999995,0.19566666666666666,0.0,SRN
openai/text-babbage-001,10,0.04733333333333334,0.0296749884291739,0.258,0.05203465132266771,0.23766666666666664,2.7755575615628914e-17,SRN
openai/text-davinci-003,10,0.04177777777777776,0.027421042654263074,0.8297777777777778,0.04831174485938199,0.817,0.0,SRN
together/bloom,10,0.01911111111111112,0.015603497550308043,0.24844444444444447,0.023722677591257815,0.24166666666666664,2.7755575615628914e-17,SRN
together/opt-175b,10,0.04595555555555554,0.023878044050012162,0.3204444444444444,0.04612168553449895,0.344,0.0,SRN
together/redpajama-incite-base-3b-v1,10,0.0,0.0,0.0,0.0,0.0,0.0,SRN
writer/palmyra-x,10,0.0514222222222222,0.03584899055003905,0.6986666666666667,0.05409821886116601,0.667,0.0,SRN
AlephAlpha/luminous-base,10,0.04598796630565584,0.03741186012593602,0.5733333333333334,0.05842373946721772,0.5833935018050542,1.1102230246251565e-16,EntityMatching
ai21/j1-grande-v2-beta,10,0.02133333333333335,0.009239415035023882,0.8586666666666666,0.02324746103221693,0.8584837545126354,0.0,EntityMatching
ai21/j1-jumbo,10,0.023051744885679903,0.01739957953217654,0.868,0.02887521043694363,0.868592057761733,1.1102230246251565e-16,EntityMatching
ai21/j2-large,10,0.02533333333333333,0.01931456211369801,0.8626666666666667,0.03158058475287203,0.8584837545126354,0.0,EntityMatching
anthropic/stanford-online-all-v4-s3,10,0.039407942238267143,0.02329817752256805,0.6386666666666667,0.041931160516043696,0.6570397111913359,1.1102230246251565e-16,EntityMatching
cohere/command-xlarge-beta,10,0.04779302045728041,0.03621296389934227,0.524,0.059940711447970745,0.5256317689530687,1.1102230246251565e-16,EntityMatching
cohere/xlarge-20221108,10,0.03733333333333333,0.029475602806064448,0.8160000000000001,0.04572380853195266,0.8028880866425994,1.1102230246251565e-16,EntityMatching
lmsys/vicuna-7b-v1.3,10,0.027971119133573995,0.016313833323177714,0.8813333333333333,0.03235909626536424,0.8801444043321298,1.1102230246251565e-16,EntityMatching
microsoft/TNLGv2_530B,10,0.02533333333333331,0.02222877413147932,0.8653333333333334,0.031240998703626597,0.8779783393501805,0.0,EntityMatching
microsoft/TNLGv2_7B,10,0.017333333333333357,0.017701775602653704,0.5613333333333334,0.0241844761962894,0.555956678700361,0.0,EntityMatching
mosaicml/mpt-30b,10,0.027894103489771328,0.02008548677769584,0.9026666666666667,0.03322649545167228,0.8938628158844766,0.0,EntityMatching
openai/text-babbage-001,10,0.0368664259927798,0.019574981817183944,0.804,0.04090096440047458,0.7956678700361011,0.0,EntityMatching
openai/text-davinci-003,10,0.01865703971119136,0.015157750688514885,0.9120000000000001,0.023999999999999997,0.9133574007220217,0.0,EntityMatching
