model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,1,0.0693,0.0,0.4133,0.0,0.4827,0.0
ai21/j1-grande-v2-beta,1,0.0881,0.0,0.6533,0.0,0.7414,0.0
ai21/j1-jumbo,1,0.0512,0.0,0.3333,0.0,0.3846,0.0
ai21/j2-large,1,0.04,0.0,0.6,0.0,0.64,0.0
anthropic/stanford-online-all-v4-s3,1,0.1282,0.0,0.6267,0.0,0.4985,0.0
cohere/command-xlarge-beta,1,0.005,0.0,0.5867,0.0,0.5916,0.0
cohere/xlarge-20221108,1,0.0048,0.0,0.6667,0.0,0.6619,0.0
lmsys/vicuna-7b-v1.3,1,0.0475,0.0,0.52,0.0,0.4725,0.0
microsoft/TNLGv2_530B,1,0.0942,0.0,0.52,0.0,0.4258,0.0
microsoft/TNLGv2_7B,1,0.0215,0.0,0.5867,0.0,0.5652,0.0
mosaicml/mpt-30b,1,0.0247,0.0,0.4267,0.0,0.402,0.0
openai/text-babbage-001,1,0.0235,0.0,0.7867,0.0,0.8101,0.0
openai/text-davinci-003,1,0.0417,0.0,0.6533,0.0,0.695,0.0
together/bloom,1,0.0396,0.0,0.5733,0.0,0.613,0.0
together/opt-175b,1,0.0299,0.0,0.24,0.0,0.2101,0.0
together/redpajama-incite-base-3b-v1,1,0.0677,0.0,0.5467,0.0,0.6144,0.0
writer/palmyra-x,1,0.0014,0.0,0.0,0.0,0.0014,0.0
