model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
open-llm-leaderboard/details_Locutusque__Rhino-Mistral-7B,1,0.0212,0.0,0.46,0.0,0.4812,0.0
open-llm-leaderboard/details_chanwit__flux-7b-v0.1,1,0.0094,0.0,0.68,0.0,0.6706,0.0
open-llm-leaderboard/details_superlazycoder__NeuralPipe-7B-slerp,1,0.0142,0.0,0.69,0.0,0.6758,0.0
open-llm-leaderboard/details_TIGER-Lab__TIGERScore-13B,1,0.0196,0.0,0.61,0.0,0.5904,0.0
open-llm-leaderboard/details_OpenBuddy__openbuddy-falcon-40b-v16.1-4k,1,0.0242,0.0,0.63,0.0,0.6058,0.0
open-llm-leaderboard/details_Weyaxi__openchat-3.5-1210-Seraph-Slerp,1,0.0008,0.0,0.68,0.0,0.6792,0.0
open-llm-leaderboard/details_KaeriJenti__Kaori-34B-v1,1,0.0449,0.0,0.69,0.0,0.6451,0.0
open-llm-leaderboard/details_OpenBuddy__openbuddy-deepseek-67b-v15-base,1,0.057,0.0,0.72,0.0,0.663,0.0
open-llm-leaderboard/details_jondurbin__spicyboros-70b-2.2,1,0.0027,0.0,0.71,0.0,0.7073,0.0
open-llm-leaderboard/details_Mihaiii__Pallas-0.2,1,0.0449,0.0,0.69,0.0,0.6451,0.0
open-llm-leaderboard/details_kyujinpy__PlatYi-34B-Llama,1,0.0117,0.0,0.69,0.0,0.6783,0.0
open-llm-leaderboard/details_l3utterfly__mistral-7b-v0.1-layla-v1,1,0.0215,0.0,0.58,0.0,0.6015,0.0
open-llm-leaderboard/details_migtissera__SynthIA-7B-v1.3,1,0.0288,0.0,0.65,0.0,0.6212,0.0
open-llm-leaderboard/details_CHIH-HUNG__llama-2-13b-FINETUNE3_3.3w-r8-gate_up_down,1,0.0175,0.0,0.59,0.0,0.5725,0.0
open-llm-leaderboard/details_zarakiquemparte__kuchiki-l2-7b,1,0.0365,0.0,0.58,0.0,0.5435,0.0
open-llm-leaderboard/details_yeontaek__WizardCoder-Python-13B-LoRa,1,0.0022,0.0,0.48,0.0,0.4778,0.0
open-llm-leaderboard/details_TheBloke__tulu-7B-fp16,1,0.0483,0.0,0.55,0.0,0.5017,0.0
open-llm-leaderboard/details_heegyu__LIMA-13b-hf,1,0.0258,0.0,0.6,0.0,0.5742,0.0
open-llm-leaderboard/details_CHIH-HUNG__llama-2-13b-huangyt_Fintune_1_17w-q_k_v_o_proj,1,0.0027,0.0,0.6,0.0,0.5973,0.0
open-llm-leaderboard/details_davzoku__cria-llama2-7b-v1.3,1,0.0327,0.0,0.56,0.0,0.5273,0.0
open-llm-leaderboard/details_xzuyn__Alpacino-SuperCOT-13B,1,0.0364,0.0,0.62,0.0,0.5836,0.0
open-llm-leaderboard/details_codellama__CodeLlama-34b-Python-hf,1,0.0581,0.0,0.46,0.0,0.4019,0.0
open-llm-leaderboard/details_rombodawg__LosslessMegaCoder-llama2-7b-mini,1,0.065,0.0,0.6,0.0,0.535,0.0
open-llm-leaderboard/details_openaccess-ai-collective__manticore-13b,1,0.023,0.0,0.61,0.0,0.587,0.0
open-llm-leaderboard/details_shareAI__bimoGPT-llama2-13b,1,0.0021,0.0,0.59,0.0,0.5879,0.0
