model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,1,0.0234,0.0,0.08,0.0,0.0566,0.0
ai21/j1-grande-v2-beta,1,0.028,0.0,0.0667,0.0,0.0947,0.0
ai21/j1-jumbo,1,0.0147,0.0,0.0667,0.0,0.052,0.0
ai21/j2-large,1,0.0149,0.0,0.0267,0.0,0.0416,0.0
anthropic/stanford-online-all-v4-s3,1,0.0117,0.0,0.1733,0.0,0.1617,0.0
cohere/command-xlarge-beta,1,0.0108,0.0,0.1067,0.0,0.0958,0.0
cohere/xlarge-20221108,1,0.0228,0.0,0.08,0.0,0.1028,0.0
lmsys/vicuna-13b-v1.3,1,0.0758,0.0,0.1867,0.0,0.1109,0.0
meta/llama-7b,1,0.0235,0.0,0.1067,0.0,0.0831,0.0
microsoft/TNLGv2_530B,1,0.0331,0.0,0.1067,0.0,0.1397,0.0
mistralai/mistral-7b-v0.1,1,0.0562,0.0,0.3333,0.0,0.2771,0.0
openai/text-babbage-001,1,0.0018,0.0,0.0133,0.0,0.0115,0.0
stanford/alpaca-7b,1,0.031,0.0,0.0933,0.0,0.0624,0.0
together/bloom,1,0.0108,0.0,0.04,0.0,0.0508,0.0
together/opt-175b,1,0.0027,0.0,0.04,0.0,0.0427,0.0
together/redpajama-incite-instruct-3b-v1,1,0.0222,0.0,0.0533,0.0,0.0312,0.0
together/yalm,1,0.0,0.0,0.0,0.0,0.0,0.0
