model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std
AlephAlpha/luminous-base,1,0.0767,0.0,0.32,0.0,0.3967,0.0
amazon/nova-lite-v1:0,1,0.1707,0.0,0.48,0.0,0.6507,0.0
amazon/nova-pro-v1:0,1,0.1205,0.0,0.56,0.0,0.6805,0.0
anthropic/claude-3-5-haiku-20241022,1,0.095,0.0,0.48,0.0,0.575,0.0
anthropic/claude-instant-1.2,1,0.0734,0.0,0.4,0.0,0.4734,0.0
anthropic/claude-v1.3,1,0.0574,0.0,0.48,0.0,0.5374,0.0
cohere/command-light,1,0.0801,0.0,0.32,0.0,0.4001,0.0
cohere/command-r-plus,1,0.1619,0.0,0.48,0.0,0.6419,0.0
cohere/command-r,1,0.1558,0.0,0.32,0.0,0.4758,0.0
google/gemini-1.5-pro-002,1,0.1371,0.0,0.56,0.0,0.6971,0.0
google/text-bison@001,1,0.1277,0.0,0.44,0.0,0.5677,0.0
meta/llama-3.1-8b-instruct-turbo,1,0.1281,0.0,0.1,0.0,0.2281,0.0
meta/llama-3.2-90b-vision-instruct-turbo,1,0.0965,0.0,0.48,0.0,0.5765,0.0
microsoft/phi-2,1,0.0244,0.0,0.32,0.0,0.3444,0.0
microsoft/phi-3-small-8k-instruct,1,0.1125,0.0,0.42,0.0,0.5325,0.0
mistralai/mixtral-8x22b,1,0.0838,0.0,0.54,0.0,0.6238,0.0
mistralai/mixtral-8x7b-32kseqlen,1,0.1629,0.0,0.46,0.0,0.6229,0.0
openai/gpt-4o-2024-08-06,1,0.0678,0.0,0.58,0.0,0.6478,0.0
qwen/qwen1.5-110b-chat,1,0.0505,0.0,0.48,0.0,0.5305,0.0
qwen/qwen1.5-32b,1,0.1253,0.0,0.48,0.0,0.6053,0.0
qwen/qwen2.5-72b-instruct-turbo,1,0.1761,0.0,0.5,0.0,0.6761,0.0
upstage/solar-pro-241126,1,0.2482,0.0,0.38,0.0,0.6282,0.0
